[C--],8, 6, 0, -2, 0, 2, 1, 2, 2.55, 0.0, 0.0, 3, 2, 3, 8
[CH2--],10, 8, 0, -2, 2, 0, 1, 4, 2.55, 0.6999999999999993, 11.22, 3, 4, 3, 10
[CH-],8, 6, 0, -1, 1, 2, 1, 2, 2.55, 0.34999999999999964, 5.61, 3, 2, 3, 8
[CH3-],10, 8, 0, -1, 3, 0, 1, 4, 2.55, 1.049999999999999, 16.830000000000002, 3, 4, 3, 10
[CH2],8, 6, 0, 0, 2, 2, 1, 2, 2.55, 0.6999999999999993, 11.22, 3, 2, 3, 8
[NH--],10, 8, 1, -2, 1, 0, 1, 4, 3.04, 0.8399999999999999, 6.688000000000001, 3, 4, 3, 10
[NH3--],12, 10, 1, -2, 3, -2, 1, 2, 3.04, 2.5199999999999996, 20.064, 3, 2, 3, 8
[N-],8, 6, 1, -1, 0, 2, 1, 2, 3.04, 0.0, 0.0, 3, 2, 3, 8
[NH2-],10, 8, 1, -1, 2, 0, 1, 4, 3.04, 1.6799999999999997, 13.376000000000001, 3, 4, 3, 10
[NH],8, 6, 1, 0, 1, 2, 1, 2, 3.04, 0.8399999999999999, 6.688000000000001, 3, 2, 3, 8
[NH3],10, 8, 1, 0, 3, 0, 1, 4, 3.04, 2.5199999999999996, 20.064, 3, 4, 3, 10
[O--],10, 8, 2, -2, 0, 0, 1, 4, 3.44, 0.0, 0.0, 3, 4, 3, 10
[OH2--],12, 10, 2, -2, 2, -2, 1, 2, 3.44, 2.4799999999999995, 15.136000000000001, 3, 2, 3, 8
[OH-],10, 8, 2, -1, 1, 0, 1, 4, 3.44, 1.2399999999999998, 7.5680000000000005, 3, 4, 3, 10
[OH3-],12, 10, 2, -1, 3, -2, 1, 2, 3.44, 3.7199999999999993, 22.704, 3, 2, 3, 8
[O],8, 6, 2, 0, 0, 2, 1, 2, 3.44, 0.0, 0.0, 3, 2, 3, 8
[OH2],10, 8, 2, 0, 2, 0, 1, 4, 3.44, 2.4799999999999995, 15.136000000000001, 3, 4, 3, 10
[PH--],18, 8, 1, -2, 1, 0, 1, 4, 2.19, -0.010000000000000231, 4.8180000000000005, 3, 4, 3, 10
[PH3--],20, 10, 1, -2, 3, -2, 1, 2, 2.19, -0.030000000000000693, 14.454, 3, 2, 3, 8
[P-],16, 6, 1, -1, 0, 2, 1, 2, 2.19, -0.0, 0.0, 3, 2, 3, 8
[PH2-],18, 8, 1, -1, 2, 0, 1, 4, 2.19, -0.020000000000000462, 9.636000000000001, 3, 4, 3, 10
[PH],16, 6, 1, 0, 1, 2, 1, 2, 2.19, -0.010000000000000231, 4.8180000000000005, 3, 2, 3, 8
[PH3],18, 8, 1, 0, 3, 0, 1, 4, 2.19, -0.030000000000000693, 14.454, 3, 4, 3, 10
[S--],18, 8, 2, -2, 0, 0, 1, 4, 2.58, 0.0, 0.0, 3, 4, 3, 10
[SH2--],20, 10, 2, -2, 2, -2, 1, 2, 2.58, 0.7599999999999998, 11.352000000000002, 3, 2, 3, 8
[SH-],18, 8, 2, -1, 1, 0, 1, 4, 2.58, 0.3799999999999999, 5.676000000000001, 3, 4, 3, 10
[SH3-],20, 10, 2, -1, 3, -2, 1, 2, 2.58, 1.1399999999999997, 17.028000000000002, 3, 2, 3, 8
[S],16, 6, 2, 0, 0, 2, 1, 2, 2.58, 0.0, 0.0, 3, 2, 3, 8
[SH2],18, 8, 2, 0, 2, 0, 1, 4, 2.58, 0.7599999999999998, 11.352000000000002, 3, 4, 3, 10
