SMILES,e,ve,l,c,h,8-v,closed shell,s_octet,EN,chi',chi,s_charge,s_octet,s_ca,s
[C--],8,6,0,-2,0,2,1,2,2.55,0.0,0.0,3,2,3,8,
[CH--],9,7,0,-2,1,1,0,3,2.55,0.34999999999999964,5.61,0,0,0,0.0,
[CH2--],10,8,0,-2,2,0,1,4,2.55,0.6999999999999993,11.22,3,4,3,10,
[CH3--],11,9,0,-2,3,-1,0,3,2.55,1.049999999999999,16.830000000000002,0,0,0,0.0,
[CH4--],12,10,0,-2,4,-2,1,2,2.55,1.3999999999999986,22.44,3,2,0,5,
[C-],7,5,0,-1,0,3,0,1,2.55,0.0,0.0,0,0,0,0.0,
[CH-],8,6,0,-1,1,2,1,2,2.55,0.34999999999999964,5.61,3,2,3,8,
[CH2-],9,7,0,-1,2,1,0,3,2.55,0.6999999999999993,11.22,0,0,0,0.0,
[CH3-],10,8,0,-1,3,0,1,4,2.55,1.049999999999999,16.830000000000002,3,4,3,10,
[CH4-],11,9,0,-1,4,-1,0,3,2.55,1.3999999999999986,22.44,0,0,0,0.0,
[C],6,4,0,0,0,4,1,0,2.55,0.0,0.0,3,0,3,6,
[CH],7,5,0,0,1,3,0,1,2.55,0.34999999999999964,5.61,0,0,0,0.0,
[CH2],8,6,0,0,2,2,1,2,2.55,0.6999999999999993,11.22,3,2,3,8,
[CH3],9,7,0,0,3,1,0,3,2.55,1.049999999999999,16.830000000000002,0,0,0,0.0,
[CH4],10,8,0,0,4,0,1,4,2.55,1.3999999999999986,22.44,3,4,0,7,
[C+],5,3,0,1,0,5,0,-1,2.55,0.0,0.0,0,0,0,0.0,
[CH+],6,4,0,1,1,4,1,0,2.55,0.34999999999999964,5.61,0,0,3,3,
[CH2+],7,5,0,1,2,3,0,1,2.55,0.6999999999999993,11.22,0,0,0,0.0,
[CH3+],8,6,0,1,3,2,1,2,2.55,1.049999999999999,16.830000000000002,0,2,3,5,
[CH4+],9,7,0,1,4,1,0,3,2.55,1.3999999999999986,22.44,0,0,0,0.0,
[C++],4,2,0,2,0,6,1,-2,2.55,0.0,0.0,0,0,0,0.0,
[CH++],5,3,0,2,1,5,0,-1,2.55,0.34999999999999964,5.61,0,0,0,0.0,
[CH2++],6,4,0,2,2,4,1,0,2.55,0.6999999999999993,11.22,0,0,0,0.0,
[CH3++],7,5,0,2,3,3,0,1,2.55,1.049999999999999,16.830000000000002,0,0,0,0.0,
[CH4++],8,6,0,2,4,2,1,2,2.55,1.3999999999999986,22.44,0,0,0,0.0,
[N--],9,7,1,-2,0,1,0,3,3.04,0.0,0.0,0,0,0,0.0,
[NH--],10,8,1,-2,1,0,1,4,3.04,0.8399999999999999,6.688000000000001,3,4,3,10,
[NH2--],11,9,1,-2,2,-1,0,3,3.04,1.6799999999999997,13.376000000000001,0,0,0,0.0,
[NH3--],12,10,1,-2,3,-2,1,2,3.04,2.5199999999999996,20.064,3,2,3,8,
[NH4--],13,11,1,-2,4,-3,0,1,3.04,3.3599999999999994,26.752000000000002,0,0,0,0.0,
[N-],8,6,1,-1,0,2,1,2,3.04,0.0,0.0,3,2,3,8,
[NH-],9,7,1,-1,1,1,0,3,3.04,0.8399999999999999,6.688000000000001,0,0,0,0.0,
[NH2-],10,8,1,-1,2,0,1,4,3.04,1.6799999999999997,13.376000000000001,3,4,3,10,
[NH3-],11,9,1,-1,3,-1,0,3,3.04,2.5199999999999996,20.064,0,0,0,0.0,
[NH4-],12,10,1,-1,4,-2,1,2,3.04,3.3599999999999994,26.752000000000002,3,2,0,5,
[N],7,5,1,0,0,3,0,1,3.04,0.0,0.0,0,0,0,0.0,
[NH],8,6,1,0,1,2,1,2,3.04,0.8399999999999999,6.688000000000001,3,2,3,8,
[NH2],9,7,1,0,2,1,0,3,3.04,1.6799999999999997,13.376000000000001,0,0,0,0.0,
[NH3],10,8,1,0,3,0,1,4,3.04,2.5199999999999996,20.064,3,4,3,10,
[NH4],11,9,1,0,4,-1,0,3,3.04,3.3599999999999994,26.752000000000002,0,0,0,0.0,
[N+],6,4,1,1,0,4,1,0,3.04,0.0,0.0,0,0,3,3,
[NH+],7,5,1,1,1,3,0,1,3.04,0.8399999999999999,6.688000000000001,0,0,0,0.0,
[NH2+],8,6,1,1,2,2,1,2,3.04,1.6799999999999997,13.376000000000001,0,2,3,5,
[NH3+],9,7,1,1,3,1,0,3,3.04,2.5199999999999996,20.064,0,0,0,0.0,
[NH4+],10,8,1,1,4,0,1,4,3.04,3.3599999999999994,26.752000000000002,0,4,0,4,
[N++],5,3,1,2,0,5,0,-1,3.04,0.0,0.0,0,0,0,0.0,
[NH++],6,4,1,2,1,4,1,0,3.04,0.8399999999999999,6.688000000000001,0,0,0,0.0,
[NH2++],7,5,1,2,2,3,0,1,3.04,1.6799999999999997,13.376000000000001,0,0,0,0.0,
[NH3++],8,6,1,2,3,2,1,2,3.04,2.5199999999999996,20.064,0,0,0,0.0,
[NH4++],9,7,1,2,4,1,0,3,3.04,3.3599999999999994,26.752000000000002,0,0,0,0.0,
[O--],10,8,2,-2,0,0,1,4,3.44,0.0,0.0,3,4,3,10,
[OH--],11,9,2,-2,1,-1,0,3,3.44,1.2399999999999998,7.5680000000000005,0,0,0,0.0,
[OH2--],12,10,2,-2,2,-2,1,2,3.44,2.4799999999999995,15.136000000000001,3,2,3,8,
[OH3--],13,11,2,-2,3,-3,0,1,3.44,3.7199999999999993,22.704,0,0,0,0.0,
[OH4--],14,12,2,-2,4,-4,1,0,3.44,4.959999999999999,30.272000000000002,3,0,0,3,
[O-],9,7,2,-1,0,1,0,3,3.44,0.0,0.0,0,0,0,0.0,
[OH-],10,8,2,-1,1,0,1,4,3.44,1.2399999999999998,7.5680000000000005,3,4,3,10,
[OH2-],11,9,2,-1,2,-1,0,3,3.44,2.4799999999999995,15.136000000000001,0,0,0,0.0,
[OH3-],12,10,2,-1,3,-2,1,2,3.44,3.7199999999999993,22.704,3,2,3,8,
[OH4-],13,11,2,-1,4,-3,0,1,3.44,4.959999999999999,30.272000000000002,0,0,0,0.0,
[O],8,6,2,0,0,2,1,2,3.44,0.0,0.0,3,2,3,8,
[OH],9,7,2,0,1,1,0,3,3.44,1.2399999999999998,7.5680000000000005,0,0,0,0.0,
[OH2],10,8,2,0,2,0,1,4,3.44,2.4799999999999995,15.136000000000001,3,4,3,10,
[OH3],11,9,2,0,3,-1,0,3,3.44,3.7199999999999993,22.704,0,0,0,0.0,
[OH4],12,10,2,0,4,-2,1,2,3.44,4.959999999999999,30.272000000000002,3,2,0,5,
[O+],7,5,2,1,0,3,0,1,3.44,0.0,0.0,0,0,0,0.0,
[OH+],8,6,2,1,1,2,1,2,3.44,1.2399999999999998,7.5680000000000005,0,2,3,5,
[OH2+],9,7,2,1,2,1,0,3,3.44,2.4799999999999995,15.136000000000001,0,0,0,0.0,
[OH3+],10,8,2,1,3,0,1,4,3.44,3.7199999999999993,22.704,0,4,3,7,
[OH4+],11,9,2,1,4,-1,0,3,3.44,4.959999999999999,30.272000000000002,0,0,0,0.0,
[O++],6,4,2,2,0,4,1,0,3.44,0.0,0.0,0,0,0,0.0,
[OH++],7,5,2,2,1,3,0,1,3.44,1.2399999999999998,7.5680000000000005,0,0,0,0.0,
[OH2++],8,6,2,2,2,2,1,2,3.44,2.4799999999999995,15.136000000000001,0,0,0,0.0,
[OH3++],9,7,2,2,3,1,0,3,3.44,3.7199999999999993,22.704,0,0,0,0.0,
[OH4++],10,8,2,2,4,0,1,4,3.44,4.959999999999999,30.272000000000002,0,0,0,0.0,
[P--],17,7,1,-2,0,1,0,3,2.19,-0.0,0.0,0,0,0,0.0,
[PH--],18,8,1,-2,1,0,1,4,2.19,-0.010000000000000231,4.8180000000000005,3,4,3,10,
[PH2--],19,9,1,-2,2,-1,0,3,2.19,-0.020000000000000462,9.636000000000001,0,0,0,0.0,
[PH3--],20,10,1,-2,3,-2,1,2,2.19,-0.030000000000000693,14.454,3,2,3,8,
[PH4--],21,11,1,-2,4,-3,0,1,2.19,-0.040000000000000924,19.272000000000002,0,0,0,0.0,
[P-],16,6,1,-1,0,2,1,2,2.19,-0.0,0.0,3,2,3,8,
[PH-],17,7,1,-1,1,1,0,3,2.19,-0.010000000000000231,4.8180000000000005,0,0,0,0.0,
[PH2-],18,8,1,-1,2,0,1,4,2.19,-0.020000000000000462,9.636000000000001,3,4,3,10,
[PH3-],19,9,1,-1,3,-1,0,3,2.19,-0.030000000000000693,14.454,0,0,0,0.0,
[PH4-],20,10,1,-1,4,-2,1,2,2.19,-0.040000000000000924,19.272000000000002,3,2,0,5,
[P],15,5,1,0,0,3,0,1,2.19,-0.0,0.0,0,0,0,0.0,
[PH],16,6,1,0,1,2,1,2,2.19,-0.010000000000000231,4.8180000000000005,3,2,3,8,
[PH2],17,7,1,0,2,1,0,3,2.19,-0.020000000000000462,9.636000000000001,0,0,0,0.0,
[PH3],18,8,1,0,3,0,1,4,2.19,-0.030000000000000693,14.454,3,4,3,10,
[PH4],19,9,1,0,4,-1,0,3,2.19,-0.040000000000000924,19.272000000000002,0,0,0,0.0,
[P+],14,4,1,1,0,4,1,0,2.19,-0.0,0.0,0,0,3,3,
[PH+],15,5,1,1,1,3,0,1,2.19,-0.010000000000000231,4.8180000000000005,0,0,0,0.0,
[PH2+],16,6,1,1,2,2,1,2,2.19,-0.020000000000000462,9.636000000000001,0,2,3,5,
[PH3+],17,7,1,1,3,1,0,3,2.19,-0.030000000000000693,14.454,0,0,0,0.0,
[PH4+],18,8,1,1,4,0,1,4,2.19,-0.040000000000000924,19.272000000000002,0,4,0,4,
[P++],13,3,1,2,0,5,0,-1,2.19,-0.0,0.0,0,0,0,0.0,
[PH++],14,4,1,2,1,4,1,0,2.19,-0.010000000000000231,4.8180000000000005,0,0,0,0.0,
[PH2++],15,5,1,2,2,3,0,1,2.19,-0.020000000000000462,9.636000000000001,0,0,0,0.0,
[PH3++],16,6,1,2,3,2,1,2,2.19,-0.030000000000000693,14.454,0,0,0,0.0,
[PH4++],17,7,1,2,4,1,0,3,2.19,-0.040000000000000924,19.272000000000002,0,0,0,0.0,
[S--],18,8,2,-2,0,0,1,4,2.58,0.0,0.0,3,4,3,10,
[SH--],19,9,2,-2,1,-1,0,3,2.58,0.3799999999999999,5.676000000000001,0,0,0,0.0,
[SH2--],20,10,2,-2,2,-2,1,2,2.58,0.7599999999999998,11.352000000000002,3,2,3,8,
[SH3--],21,11,2,-2,3,-3,0,1,2.58,1.1399999999999997,17.028000000000002,0,0,0,0.0,
[SH4--],22,12,2,-2,4,-4,1,0,2.58,1.5199999999999996,22.704000000000004,3,0,0,3,
[S-],17,7,2,-1,0,1,0,3,2.58,0.0,0.0,0,0,0,0.0,
[SH-],18,8,2,-1,1,0,1,4,2.58,0.3799999999999999,5.676000000000001,3,4,3,10,
[SH2-],19,9,2,-1,2,-1,0,3,2.58,0.7599999999999998,11.352000000000002,0,0,0,0.0,
[SH3-],20,10,2,-1,3,-2,1,2,2.58,1.1399999999999997,17.028000000000002,3,2,3,8,
[SH4-],21,11,2,-1,4,-3,0,1,2.58,1.5199999999999996,22.704000000000004,0,0,0,0.0,
[S],16,6,2,0,0,2,1,2,2.58,0.0,0.0,3,2,3,8,
[SH],17,7,2,0,1,1,0,3,2.58,0.3799999999999999,5.676000000000001,0,0,0,0.0,
[SH2],18,8,2,0,2,0,1,4,2.58,0.7599999999999998,11.352000000000002,3,4,3,10,
[SH3],19,9,2,0,3,-1,0,3,2.58,1.1399999999999997,17.028000000000002,0,0,0,0.0,
[SH4],20,10,2,0,4,-2,1,2,2.58,1.5199999999999996,22.704000000000004,3,2,0,5,
[S+],15,5,2,1,0,3,0,1,2.58,0.0,0.0,0,0,0,0.0,
[SH+],16,6,2,1,1,2,1,2,2.58,0.3799999999999999,5.676000000000001,0,2,3,5,
[SH2+],17,7,2,1,2,1,0,3,2.58,0.7599999999999998,11.352000000000002,0,0,0,0.0,
[SH3+],18,8,2,1,3,0,1,4,2.58,1.1399999999999997,17.028000000000002,0,4,3,7,
[SH4+],19,9,2,1,4,-1,0,3,2.58,1.5199999999999996,22.704000000000004,0,0,0,0.0,
[S++],14,4,2,2,0,4,1,0,2.58,0.0,0.0,0,0,0,0.0,
[SH++],15,5,2,2,1,3,0,1,2.58,0.3799999999999999,5.676000000000001,0,0,0,0.0,
[SH2++],16,6,2,2,2,2,1,2,2.58,0.7599999999999998,11.352000000000002,0,0,0,0.0,
[SH3++],17,7,2,2,3,1,0,3,2.58,1.1399999999999997,17.028000000000002,0,0,0,0.0,
[SH4++],18,8,2,2,4,0,1,4,2.58,1.5199999999999996,22.704000000000004,0,0,0,0.0,
